"employee_id","first_name","last_name","email","phone_number","address","birthdate","hire_date","job_title","department","salary","password"
"XF2QJD","Caitlin","Torres","pmyers@example.net","603.441.7036x049","PSC 6549  Box 0879 APO AP 30686","1973-10-30","2006-10-10","Runner  broadcasting/film/video","Marketing","50104","U+W6isMqA2Ra"
"LWREWQ","Mark","Osborne","rschwartz@example.com","(383)281-3214x218","40901 Ashley Mills Michelleport  PR 89084","1960-02-04","1988-10-12","Chiropractor","Sales","142870","*!_!yLLhZmu2"
"FSQGMR","Abigail","Calderon","warderin@example.net","597-511-8561","USNV Hill FPO AE 22212","1960-05-22","1994-08-12","Armed forces logistics/support/administrative officer","Marketing","79198","NR@!iMhV13kD"
"WT6LZ2","Victoria","Figueroa","lorijohnson@example.com","379-411-0298","6214 John Drive South Ashleytown  FM 16554","1996-08-28","2025-01-31","Radiation protection practitioner","HR","118359","V&VeSTc+wyY9"
"WKK8PN","Cynthia","Bullock","xswanson@example.net","983.725.7987","017 Dixon Rest Sethmouth  MH 58284","1982-03-28","2007-07-09","Dispensing optician","Marketing","131949","@L7XU2qHsLQO"
"DHBPTN","Jeffrey","Armstrong","hurstnichole@example.org","394.203.6775","37770 Ashley Spurs North Jared  MS 35812","1990-06-22","2019-03-25","Hospital doctor","Sales","44815","ZQ)N4*GyZGf3"
"8CQ4YJ","William","Lee","mariaeaton@example.org","579.478.2655x8030","4490 Miller Mountains Lake Kimberly  ND 85145","1963-07-15","2019-05-22","Scientist  product/process development","Sales","129242","l)0owNQvdw(9"
"CP36HN","Kristy","Young","thomas51@example.org","562-672-3572x41770","7839 Daniel Row Suite 327 Francoland  CA 70889","1982-02-27","2008-01-27","Therapist  occupational","HR","116653","^0adyHl!RxWQ"
"9H06IN","Christopher","Sanders","mchapman@example.com","(330)502-1428","PSC 5196  Box 5026 APO AA 17539","1974-08-09","2021-04-03","Leisure centre manager","Finance","42085","FDb4AP#mS(28"
"4HA6N0","Thomas","English","jacksonjanice@example.net","272.545.7509x4245","53336 Watson Pike Fisherfurt  GU 72405","1963-09-12","2012-01-26","Materials engineer","Marketing","93004","hX0jXydAQ@Eq"
"PHBIK6","Wendy","Wilson","tammiebecker@example.com","367-656-5533","41806 Morgan Field South Rachel  MA 64833","1993-04-11","2016-12-04","Nurse  mental health","Engineering","84030","#oR^okk^09_S"
"V7V8YD","Patricia","Nelson","wsteele@example.com","343.966.2082x136","964 Javier Gateway Suite 924 Smithville  IA 87649","1974-08-21","2011-06-07","Sports therapist","Finance","92084","#1ByJjVm3feE"
"MOXYSK","Brenda","Green","alexpoole@example.net","(553)672-4104x8969","9383 Wilson Crescent Smithshire  FL 66284","1981-10-08","2020-04-06","Administrator","Marketing","41424","w4R)BF+U&(3F"
"LGBOTV","Melissa","Rogers","rebecca55@example.org","001-924-515-7901x9507","455 Bryan Pike South Rhondahaven  OK 11141","1995-11-02","2023-06-07","Nature conservation officer","IT","86619","P28zXxoQ)gWJ"
"C8SODB","Cynthia","Ortega","paulhart@example.com","(679)299-7501","56124 Perry Ford Ashleyport  RI 86988","1983-05-14","2024-03-14","Merchandiser  retail","Finance","144806","Y8EEZUAh&r)m"
